# ph	T_bb	err	R_bb	err	L_bb	err

59194.25	1.01e+04	9.77e+02	3.65e+14	4.44e+13	1.00e+42	4.57e+41
59194.33	1.01e+04	9.77e+02	1.95e+14	2.37e+13	2.84e+41	1.30e+41
59194.33	1.01e+04	9.77e+02	3.75e+14	4.56e+13	1.06e+42	4.82e+41
59196.25	1.01e+04	9.77e+02	3.71e+14	4.51e+13	1.03e+42	4.71e+41
59198.21	1.01e+04	9.77e+02	3.11e+14	3.78e+13	7.27e+41	3.32e+41
59198.36	1.01e+04	9.77e+02	1.68e+14	2.05e+13	2.13e+41	9.72e+40
59198.37	1.01e+04	9.77e+02	3.32e+14	4.04e+13	8.28e+41	3.78e+41
59200.24	1.01e+04	9.77e+02	2.94e+14	3.58e+13	6.50e+41	2.96e+41
59217.31	1.01e+04	9.77e+02	1.79e+14	2.18e+13	2.42e+41	1.10e+41
59221.33	1.01e+04	9.77e+02	1.77e+14	2.15e+13	2.34e+41	1.07e+41
59221.34	1.01e+04	9.77e+02	1.73e+14	2.11e+13	2.25e+41	1.03e+41
59221.36	1.01e+04	9.77e+02	1.79e+14	2.17e+13	2.40e+41	1.10e+41
59458.57	1.01e+04	9.77e+02	3.38e+13	4.11e+12	8.57e+39	3.91e+39
59467.57	1.01e+04	9.77e+02	5.31e+13	6.46e+12	2.12e+40	9.67e+39
59467.57	1.01e+04	9.77e+02	4.38e+13	5.33e+12	1.44e+40	6.57e+39
59485.56	1.01e+04	9.77e+02	8.85e+13	1.08e+13	5.88e+40	2.68e+40
59491.50	1.01e+04	9.77e+02	6.89e+13	8.38e+12	3.57e+40	1.63e+40
59494.62	1.01e+04	9.77e+02	4.97e+13	6.05e+12	1.86e+40	8.46e+39
59516.46	1.01e+04	9.77e+02	6.21e+13	7.55e+12	2.89e+40	1.32e+40
59525.46	1.01e+04	9.77e+02	4.49e+13	5.47e+12	1.52e+40	6.92e+39
59529.48	1.01e+04	9.77e+02	5.38e+13	6.54e+12	2.17e+40	9.91e+39
59540.38	1.01e+04	9.77e+02	1.82e+13	2.21e+12	2.49e+39	1.13e+39
59544.42	1.01e+04	9.77e+02	5.22e+13	6.35e+12	2.05e+40	9.35e+39
