# ph	T_bb	err	R_bb	err	L_bb	err

59047.27	7.95e+03	6.15e+02	6.06e+14	8.52e+13	1.05e+42	4.37e+41
59048.21	7.95e+03	6.15e+02	8.49e+14	1.19e+14	2.05e+42	8.57e+41
59048.27	7.95e+03	6.15e+02	7.10e+14	9.98e+13	1.43e+42	6.00e+41
59051.20	7.95e+03	6.15e+02	8.19e+14	1.15e+14	1.91e+42	7.98e+41
59051.28	7.95e+03	6.15e+02	4.91e+14	6.90e+13	6.85e+41	2.86e+41
59051.28	7.95e+03	6.15e+02	7.18e+14	1.01e+14	1.47e+42	6.13e+41
59053.27	7.95e+03	6.15e+02	3.55e+14	4.99e+13	3.58e+41	1.50e+41
59053.28	7.95e+03	6.15e+02	6.93e+14	9.74e+13	1.37e+42	5.71e+41
59064.29	7.95e+03	6.15e+02	2.05e+14	2.88e+13	1.19e+41	4.98e+40
59072.27	7.95e+03	6.15e+02	2.63e+14	3.70e+13	1.97e+41	8.25e+40
59074.27	7.95e+03	6.15e+02	1.99e+14	2.80e+13	1.13e+41	4.71e+40
59078.26	7.95e+03	6.15e+02	2.09e+14	2.94e+13	1.24e+41	5.20e+40
59081.25	7.95e+03	6.15e+02	3.53e+14	4.97e+13	3.55e+41	1.48e+41
59093.25	7.95e+03	6.15e+02	2.81e+14	3.95e+13	2.24e+41	9.37e+40
59095.25	7.95e+03	6.15e+02	3.42e+14	4.80e+13	3.32e+41	1.39e+41
59095.25	7.95e+03	6.15e+02	3.51e+14	4.94e+13	3.51e+41	1.47e+41
59097.24	7.95e+03	6.15e+02	4.84e+14	6.81e+13	6.67e+41	2.79e+41
59097.24	7.95e+03	6.15e+02	3.88e+14	5.45e+13	4.28e+41	1.79e+41
59217.64	7.95e+03	6.15e+02	7.65e+13	1.08e+13	1.67e+40	6.97e+39
59220.66	7.95e+03	6.15e+02	1.69e+14	2.37e+13	8.11e+40	3.39e+40
59242.64	7.95e+03	6.15e+02	8.18e+14	1.15e+14	1.90e+42	7.96e+41
59242.64	7.95e+03	6.15e+02	5.26e+14	7.39e+13	7.86e+41	3.29e+41
59245.66	7.95e+03	6.15e+02	2.58e+14	3.63e+13	1.90e+41	7.95e+40
59246.64	7.95e+03	6.15e+02	1.70e+14	2.39e+13	8.25e+40	3.45e+40
59257.57	7.95e+03	6.15e+02	1.89e+14	2.66e+13	1.02e+41	4.26e+40
59313.53	7.95e+03	6.15e+02	2.32e+14	3.26e+13	1.53e+41	6.39e+40
59317.49	7.95e+03	6.15e+02	2.52e+14	3.55e+13	1.81e+41	7.58e+40
59326.39	7.95e+03	6.15e+02	1.87e+14	2.63e+13	9.99e+40	4.18e+40
59328.46	7.95e+03	6.15e+02	1.74e+14	2.44e+13	8.58e+40	3.59e+40
59328.46	7.95e+03	6.15e+02	2.72e+14	3.83e+13	2.11e+41	8.83e+40
59333.43	7.95e+03	6.15e+02	2.97e+14	4.17e+13	2.51e+41	1.05e+41
59333.43	7.95e+03	6.15e+02	3.46e+14	4.87e+13	3.41e+41	1.43e+41
59344.33	7.95e+03	6.15e+02	1.67e+14	2.35e+13	7.93e+40	3.31e+40
59382.27	7.95e+03	6.15e+02	2.29e+14	3.22e+13	1.49e+41	6.22e+40
59382.27	7.95e+03	6.15e+02	1.88e+14	2.64e+13	1.01e+41	4.21e+40
59383.27	7.95e+03	6.15e+02	2.36e+14	3.32e+13	1.58e+41	6.62e+40
59383.27	7.95e+03	6.15e+02	1.95e+14	2.75e+13	1.09e+41	4.54e+40
59384.27	7.95e+03	6.15e+02	3.64e+14	5.12e+13	3.78e+41	1.58e+41
59587.64	7.95e+03	6.15e+02	3.32e+14	4.67e+13	3.13e+41	1.31e+41
59588.65	7.95e+03	6.15e+02	3.60e+14	5.06e+13	3.68e+41	1.54e+41
59588.65	7.95e+03	6.15e+02	2.80e+14	3.94e+13	2.23e+41	9.33e+40
59594.60	7.95e+03	6.15e+02	3.86e+14	5.43e+13	4.24e+41	1.77e+41
59594.60	7.95e+03	6.15e+02	1.68e+14	2.36e+13	7.98e+40	3.34e+40
59596.62	7.95e+03	6.15e+02	2.67e+14	3.75e+13	2.02e+41	8.45e+40
59596.62	7.95e+03	6.15e+02	2.78e+14	3.91e+13	2.21e+41	9.22e+40
59597.60	7.95e+03	6.15e+02	4.58e+14	6.43e+13	5.96e+41	2.49e+41
