"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
157.882 2.500 0.000 1.818 0.015 91962636982919793935272321661748654374912.000 1566945713221763599032767122140706111488.000
158.884 2.500 0.000 1.807 0.015 90867032952902953247159044728946704777216.000 1541908112209610326117455071043469180928.000
159.887 2.500 0.000 1.796 0.015 89784132517704099613722165534109716185088.000 1516870348473187156981491061356167692288.000
160.889 2.500 0.000 1.785 0.015 88713827056641233866251971798521826246656.000 1491849764882648196388688245282033369088.000
161.891 2.500 0.000 1.773 0.015 87491847976280617591983364897855269502976.000 1461889318539901596785165081602649227264.000
162.894 2.500 0.000 1.762 0.015 86447433834768497533109531138321008295936.000 1436922115684016785673843690871256514560.000
163.896 2.500 0.000 1.752 0.014 85415301472057595117410193893250488598528.000 1412019441707156056118330397055382454272.000
164.899 2.500 0.000 1.741 0.014 84395338469009602701493282608813822705664.000 1387194533490947600388357233916159983616.000
165.901 2.500 0.000 1.731 0.014 83387431111079633064634574169530483867648.000 1362461903713078518441729480546672705536.000
166.904 2.500 0.000 1.720 0.014 82391464317588565602397557302988145426432.000 1337836856214175954417315527005214605312.000
167.906 2.500 0.000 1.710 0.014 81407321449787590404880782644414332796928.000 1313333044912706416093005099040650559488.000
168.909 2.500 0.000 1.700 0.014 80434884188942807352015070565023615025152.000 1288964372247971680244869318468651974656.000
169.911 2.500 0.000 1.690 0.013 79474032229312014802842331796407819698176.000 1264744886045381527105736744070551699456.000
170.914 2.500 0.000 1.680 0.013 78524643267239898888988347846650998292480.000 1240689874376108187285802519895673405440.000
171.916 2.500 0.000 1.670 0.013 77586592620003123431723367784467818086400.000 1216811240605397807426611453318471352320.000
172.918 2.500 0.000 1.660 0.013 76659752978174525993681769280327533985792.000 1193123974169190026581375139058039128064.000
173.921 2.500 0.000 1.650 0.013 75743994223081663559754390799730270535680.000 1169641539250808424551311788291211132928.000
174.923 2.500 0.000 1.640 0.013 74839182988298430576254167762270918017024.000 1146377604905032316732679389339826782208.000
175.926 2.500 0.000 1.630 0.012 73945182461791079401185977931151855058944.000 1123345983480388117075095421590985244672.000
176.928 2.500 0.000 1.620 0.012 73061852051876783879397456114265222021120.000 1100559418372948166729249412728630542336.000
177.931 2.500 0.000 1.610 0.012 72189047019897941195221155422863984951296.000 1078031679825119343668315265677809156096.000
178.933 2.500 0.000 1.601 0.012 71326618096853041615361773844475483783168.000 1055775544645771727007612360961371930624.000
179.936 2.500 0.000 1.591 0.012 70428545274402405072716452474919294337024.000 1032817441960557274891637467775907135488.000
180.938 2.500 0.000 1.581 0.011 69587642604555441164788961400760236507136.000 1011166446324031735503776107068508864512.000
181.941 2.500 0.000 1.571 0.011 68689030516986509306651538184749147226112.000 988015048144465075043010755099417903104.000
182.943 2.500 0.000 1.561 0.011 67866275767687271797436762354964345389056.000 966695405352775226396240520556058771456.000
183.946 2.500 0.000 1.554 0.011 67180816192802697634952354776968851357696.000 947795407262225471101795581568498008064.000
184.948 2.500 0.000 1.546 0.011 66503130449601331318180116617818261159936.000 929182926451331497907991331010926084096.000
185.950 2.500 0.000 1.537 0.011 65772630651513271929320399248867450683392.000 909767410938619707463397070961641521152.000
186.953 2.500 0.000 1.529 0.010 65110498764562954068024047590638025179136.000 891775750728016888128151476988631056384.000
187.955 2.500 0.000 1.522 0.010 64455062393343782471194469050396209840128.000 874094839255144423561065943218121605120.000
188.958 2.500 0.000 1.512 0.010 63655016042069765634632569328693959196672.000 854704610231429507564230617180919562240.000
189.960 2.500 0.000 1.503 0.010 62867635242319651777907160150814522081280.000 835762821376556460138785887867650441216.000
190.963 2.500 0.000 1.494 0.010 62107198852505406915681811000674347909120.000 817455913958171183047300761128546598912.000
191.965 2.500 0.000 1.485 0.010 61354195715329904033033305172133581684736.000 799518573653090955420176109568752877568.000
192.968 2.500 0.000 1.476 0.010 60608608054356605749974508448378219659264.000 781949241325566972068077987129316081664.000
193.970 2.500 0.000 1.467 0.009 59870428665194386884073887755531022499840.000 764744832131289657955023641083704770560.000
194.973 2.500 0.000 1.458 0.009 59139661601998953103563058425072623550464.000 747902995033227181861718548360181317632.000
195.975 2.500 0.000 1.449 0.009 58416322206142671482002625744532855062528.000 731422032298633287028935396975802580992.000
196.977 2.500 0.000 1.441 0.009 57808201651151756748822366199799355539456.000 716635581250510729778697430652713697280.000
197.980 2.500 0.000 1.434 0.009 57255258378968797185151077689878412001280.000 702764492147412404445391142600220606464.000
198.982 2.500 0.000 1.426 0.009 56631133765334074063652706819904936869888.000 686803349869430922212927791114523508736.000
199.985 2.500 0.000 1.418 0.009 55934319519503435037733410356767777357824.000 671694713770346652805939808981064089600.000
200.987 2.500 0.000 1.407 0.008 55111333350563699452465691724555782979584.000 655347166839730725687098875667755827200.000
201.990 2.500 0.000 1.397 0.008 54286263830083311643906340461731626614784.000 639261127214453610381422863804673294336.000
202.992 2.500 0.000 1.386 0.008 53471425088548693052804781703150216151040.000 623576235913561307754222572098845409280.000
203.995 2.500 0.000 1.377 0.008 52813945601402923674027164848709647204352.000 609983960181583945045274693056245792768.000
204.997 2.500 0.000 1.370 0.008 52229252142564359483954021376343324753920.000 597460510881724223535834131950890647552.000
206.000 2.500 0.000 1.362 0.008 51652806573694472036256009255939156738048.000 585247772994778675224834136578348548096.000
207.002 2.500 0.000 1.355 0.008 51084534787914509901922178555063750885376.000 573340160706854670590234247553548812288.000
208.005 2.500 0.000 1.347 0.007 50494658369129706450003304516147138789376.000 561402478743133479673045635332782948352.000
209.007 2.500 0.000 1.338 0.007 49805204635686803892148551979323048853504.000 548581464193503750036532141302573170688.000
210.009 2.500 0.000 1.328 0.007 49075202837175248833218800212864248315904.000 535550462011885665082849140383439388672.000
211.012 2.500 0.000 1.318 0.007 48347779175749419157371384933428148305920.000 522786742109783215104451486748749332480.000
212.014 2.500 0.000 1.308 0.007 47632522917912037090211706624850429739008.000 510390942337321348972531222093800407040.000
213.017 2.500 0.000 1.298 0.007 46929350488135428416352988091253566472192.000 498358162653783154741531828761462308864.000
214.019 2.500 0.000 1.294 0.007 46574614269736657418627703584023591780352.000 490225215557632444094116899571267272704.000
215.022 2.500 0.000 1.292 0.007 46486453670943216707478646375499905892352.000 485042169174905896448425619867840806912.000
216.024 2.500 0.000 1.284 0.007 45862349037298930004130203075018739417088.000 474437751793119932620751964265154347008.000
217.027 2.500 0.000 1.270 0.007 44900657519330462464813236052658990612480.000 460590007942825540183690294378501242880.000
218.029 2.500 0.000 1.262 0.006 44300768529659746165600162548880863395840.000 450486210429396565069151641298844778496.000
219.032 2.500 0.000 1.249 0.006 43430270353808194149498250403994832732160.000 438100294411484178767402373763429302272.000
220.034 2.500 0.000 1.231 0.006 42167749499875134331030534031971020963840.000 422046859593325467778641949986807349248.000
221.036 2.500 0.000 1.217 0.006 41196916260310652915409809176059971633152.000 409203202513672043565655730159666331648.000
222.039 2.500 0.000 1.206 0.006 40468424032813754526711239216422818152448.000 399012152870656846164698989898860855296.000
223.041 2.500 0.000 1.201 0.006 40130838743129931530899334938553946734592.000 392872785903374345760903951528585330688.000
224.044 2.500 0.000 1.198 0.006 39968671327647914731313037859005961076736.000 388608488909656272798377895572285685760.000
225.046 2.500 0.000 1.196 0.006 39794910749040405503052283442262293086208.000 384379457268801967493769613440997916672.000
226.049 2.500 0.000 1.193 0.006 39621673150635888239349730706997372780544.000 380306360845244348549779084364985925632.000
227.051 2.500 0.000 1.190 0.006 39448760571900608889468148768618233987072.000 376389980900671921838525249505772699648.000
228.054 2.500 0.000 1.188 0.006 39275959990428633460464590349113610993664.000 372631530920759798189175613210629242880.000
229.056 2.500 0.000 1.181 0.006 38814949142283222331607465722234695319552.000 366313825424107473341571416076574523392.000
230.059 2.500 0.000 1.175 0.006 38397480317725985022201317541714124079104.000 360594823334764443536678097435460894720.000
231.061 2.500 0.000 1.167 0.005 37929660410494901800867986856587921719296.000 354588350030118125213450448890566279168.000
232.063 2.500 0.000 1.159 0.005 37414181868354566794570683713692224192512.000 348322370637616445682097223434739122176.000
233.066 2.500 0.000 1.151 0.005 36903742513011507919598203837304136531968.000 342286792461783794837864608845518602240.000
234.068 2.500 0.000 1.144 0.005 36397853855294847640961091098129802985472.000 336472846036180447613351030198787637248.000
235.071 2.500 0.000 1.137 0.005 36012200826541979334853253166277375033344.000 331943023331072906442143475702259777536.000
236.073 2.500 0.000 1.132 0.005 35648576913041388350753729891221263876096.000 327782809221694277819108112910767882240.000
237.076 2.500 0.000 1.126 0.005 35293067465766178959145587013438983372800.000 323860706771033991972002344204591169536.000
238.078 2.500 0.000 1.121 0.005 34950495376254801299024990860458598596608.000 320149943007214996727348200999380582400.000
239.081 2.500 0.000 1.113 0.005 34506674271916782014538806218972802842624.000 315530840903441230806978246912436600832.000
240.083 2.500 0.000 1.107 0.005 34134177211805011869532128522890135994368.000 312005553990721716080968058343266451456.000
241.086 2.500 0.000 1.094 0.005 33296160639940141270077288005846219882496.000 304383446219231349946137291372781109248.000
242.088 2.500 0.000 1.079 0.005 32417054148204745299612723122123275501568.000 296534341899950166058228666413715816448.000
243.091 2.500 0.000 1.068 0.005 31723719770911164703194059594808260820992.000 290522651310552102130566323896982700032.000
244.093 2.500 0.000 1.057 0.005 31101757716411253659411435466015129993216.000 285295188343250833275733705357824884736.000
245.095 2.500 0.000 1.046 0.005 30482631201339425666761882413419703828480.000 280216703651614889602147541671766654976.000
