# ph	T_bb	err	R_bb	err	L_bb	err

59195.34	9.07e+03	1.17e+03	4.05e+14	6.91e+13	7.94e+41	4.92e+41
59197.27	9.07e+03	1.17e+03	3.30e+14	5.62e+13	5.25e+41	3.25e+41
59197.27	9.07e+03	1.17e+03	5.93e+14	1.01e+14	1.70e+42	1.05e+42
59197.30	9.07e+03	1.17e+03	4.93e+14	8.40e+13	1.17e+42	7.26e+41
59199.28	9.07e+03	1.17e+03	3.30e+14	5.63e+13	5.26e+41	3.26e+41
59199.32	9.07e+03	1.17e+03	3.55e+14	6.06e+13	6.10e+41	3.78e+41
59381.58	9.07e+03	1.17e+03	3.09e+14	5.27e+13	4.62e+41	2.86e+41
59381.58	9.07e+03	1.17e+03	1.71e+14	2.91e+13	1.41e+41	8.72e+40
59385.60	9.07e+03	1.17e+03	1.39e+13	2.36e+12	9.28e+38	5.74e+38
59390.60	9.07e+03	1.17e+03	3.46e+14	5.89e+13	5.77e+41	3.57e+41
59390.60	9.07e+03	1.17e+03	1.22e+14	2.08e+13	7.17e+40	4.44e+40
59400.57	9.07e+03	1.17e+03	1.80e+14	3.06e+13	1.56e+41	9.66e+40
59400.57	9.07e+03	1.17e+03	1.62e+14	2.76e+13	1.27e+41	7.86e+40
59401.56	9.07e+03	1.17e+03	2.08e+14	3.54e+13	2.09e+41	1.29e+41
59410.56	9.07e+03	1.17e+03	4.88e+13	8.32e+12	1.15e+40	7.12e+39
59412.51	9.07e+03	1.17e+03	2.52e+14	4.30e+13	3.07e+41	1.90e+41
59417.52	9.07e+03	1.17e+03	1.64e+14	2.79e+13	1.30e+41	8.02e+40
59417.52	9.07e+03	1.17e+03	4.00e+14	6.83e+13	7.75e+41	4.80e+41
59420.56	9.07e+03	1.17e+03	3.38e+14	5.76e+13	5.52e+41	3.41e+41
59428.52	9.07e+03	1.17e+03	3.02e+14	5.15e+13	4.41e+41	2.73e+41
59428.53	9.07e+03	1.17e+03	2.78e+13	4.73e+12	3.72e+39	2.30e+39
59431.48	9.07e+03	1.17e+03	2.65e+14	4.52e+13	3.39e+41	2.10e+41
59438.62	9.07e+03	1.17e+03	7.03e+13	1.20e+13	2.39e+40	1.48e+40
59446.59	9.07e+03	1.17e+03	2.21e+14	3.77e+13	2.36e+41	1.46e+41
59448.60	9.07e+03	1.17e+03	2.84e+14	4.85e+13	3.90e+41	2.42e+41
59455.60	9.07e+03	1.17e+03	2.52e+14	4.30e+13	3.07e+41	1.90e+41
59455.60	9.07e+03	1.17e+03	7.18e+13	1.22e+13	2.49e+40	1.54e+40
59458.58	9.07e+03	1.17e+03	7.61e+13	1.30e+13	2.80e+40	1.73e+40
59464.39	9.07e+03	1.17e+03	1.12e+14	1.92e+13	6.10e+40	3.78e+40
59467.56	9.07e+03	1.17e+03	1.51e+14	2.57e+13	1.10e+41	6.80e+40
59467.57	9.07e+03	1.17e+03	2.26e+14	3.85e+13	2.47e+41	1.53e+41
59485.52	9.07e+03	1.17e+03	1.27e+14	2.16e+13	7.75e+40	4.80e+40
59491.50	9.07e+03	1.17e+03	1.96e+14	3.35e+13	1.87e+41	1.15e+41
59491.50	8.31e+03	1.04e+03	1.00e+13	1.74e+12	3.40e+38	2.07e+38
59510.44	9.07e+03	1.17e+03	3.23e+14	5.50e+13	5.03e+41	3.11e+41
59514.41	9.07e+03	1.17e+03	1.30e+14	2.22e+13	8.23e+40	5.09e+40
59519.28	9.07e+03	1.17e+03	1.96e+14	3.34e+13	1.85e+41	1.15e+41
59530.37	9.07e+03	1.17e+03	8.60e+13	1.47e+13	3.58e+40	2.21e+40
59537.32	9.07e+03	1.17e+03	2.04e+14	3.49e+13	2.02e+41	1.25e+41
59538.24	9.07e+03	1.17e+03	1.12e+14	1.90e+13	6.03e+40	3.73e+40
59541.32	9.07e+03	1.17e+03	1.40e+14	2.39e+13	9.52e+40	5.89e+40
59545.33	9.07e+03	1.17e+03	2.52e+14	4.29e+13	3.06e+41	1.89e+41
59739.60	9.07e+03	1.17e+03	1.34e+14	2.28e+13	8.67e+40	5.37e+40
59739.61	9.07e+03	1.17e+03	3.07e+14	5.23e+13	4.55e+41	2.82e+41
59740.60	9.07e+03	1.17e+03	9.12e+13	1.55e+13	4.02e+40	2.49e+40
59757.59	9.07e+03	1.17e+03	1.84e+14	3.13e+13	1.63e+41	1.01e+41
59765.57	9.07e+03	1.17e+03	6.01e+13	1.03e+13	1.75e+40	1.08e+40
59774.56	9.07e+03	1.17e+03	1.75e+14	2.98e+13	1.47e+41	9.12e+40
59776.55	9.07e+03	1.17e+03	2.15e+14	3.66e+13	2.23e+41	1.38e+41
59795.53	9.07e+03	1.17e+03	2.04e+14	3.47e+13	2.01e+41	1.24e+41
59795.53	9.07e+03	1.17e+03	7.74e+13	1.32e+13	2.90e+40	1.79e+40
59810.45	9.07e+03	1.17e+03	2.38e+14	4.06e+13	2.74e+41	1.69e+41
59825.44	9.07e+03	1.17e+03	3.82e+13	6.51e+12	7.04e+39	4.36e+39
59825.45	9.07e+03	1.17e+03	1.50e+14	2.56e+13	1.09e+41	6.74e+40
59830.43	9.07e+03	1.17e+03	1.90e+14	3.24e+13	1.74e+41	1.08e+41
59841.38	9.07e+03	1.17e+03	1.90e+14	3.23e+13	1.74e+41	1.08e+41
59842.38	9.07e+03	1.17e+03	5.72e+13	9.76e+12	1.58e+40	9.80e+39
59850.39	9.07e+03	1.17e+03	1.03e+14	1.76e+13	5.17e+40	3.20e+40
59854.48	9.07e+03	1.17e+03	1.26e+14	2.15e+13	7.69e+40	4.76e+40
59867.48	9.07e+03	1.17e+03	2.50e+14	4.26e+13	3.02e+41	1.87e+41
59876.39	9.07e+03	1.17e+03	1.17e+14	1.99e+13	6.61e+40	4.09e+40
59876.40	9.07e+03	1.17e+03	1.47e+14	2.51e+13	1.05e+41	6.49e+40
