# ph	Lobs	err	L+BB	err	

59455.60	9.52e+39	9.47e+39	2.48e+40	1.28e+40
59458.58	1.07e+40	1.06e+40	2.79e+40	1.44e+40
59464.39	2.33e+40	2.32e+40	6.08e+40	3.13e+40
59467.56	4.19e+40	4.17e+40	1.09e+41	5.63e+40
59467.57	9.41e+40	9.36e+40	2.46e+41	1.26e+41
59485.52	2.96e+40	2.94e+40	7.72e+40	3.98e+40
59491.50	7.12e+40	7.08e+40	1.86e+41	9.56e+40
59491.50	1.45e+38	1.44e+38	3.39e+38	1.78e+38
59510.44	1.92e+41	1.91e+41	5.00e+41	2.58e+41
59514.41	3.14e+40	3.12e+40	8.19e+40	4.22e+40
59519.28	7.07e+40	7.03e+40	1.84e+41	9.49e+40
59530.37	1.37e+40	1.36e+40	3.56e+40	1.83e+40
59537.32	7.71e+40	7.67e+40	2.01e+41	1.04e+41
59538.24	2.30e+40	2.29e+40	6.00e+40	3.09e+40
59541.32	3.64e+40	3.62e+40	9.48e+40	4.88e+40
59545.33	1.17e+41	1.16e+41	3.05e+41	1.57e+41
59739.60	3.31e+40	3.29e+40	8.63e+40	4.44e+40
59739.61	1.74e+41	1.73e+41	4.53e+41	2.33e+41
59740.60	1.53e+40	1.53e+40	4.00e+40	2.06e+40
59757.59	6.23e+40	6.19e+40	1.62e+41	8.36e+40
59765.57	6.67e+39	6.63e+39	1.74e+40	8.96e+39
59774.56	5.63e+40	5.59e+40	1.47e+41	7.55e+40
59776.55	8.51e+40	8.46e+40	2.22e+41	1.14e+41
59795.53	7.66e+40	7.62e+40	2.00e+41	1.03e+41
59795.53	1.11e+40	1.10e+40	2.89e+40	1.49e+40
59810.45	1.04e+41	1.04e+41	2.72e+41	1.40e+41
59825.44	2.69e+39	2.67e+39	7.01e+39	3.61e+39
59825.45	4.16e+40	4.14e+40	1.08e+41	5.58e+40
59830.43	6.65e+40	6.61e+40	1.73e+41	8.93e+40
59841.38	6.64e+40	6.60e+40	1.73e+41	8.92e+40
59842.38	6.04e+39	6.01e+39	1.58e+40	8.12e+39
59850.39	1.97e+40	1.96e+40	5.14e+40	2.65e+40
59854.48	2.94e+40	2.92e+40	7.66e+40	3.94e+40
59867.48	1.15e+41	1.15e+41	3.01e+41	1.55e+41
59876.39	2.52e+40	2.51e+40	6.59e+40	3.39e+40
