##phase	g	err	w	err	r	err	i	err	z	err	y	err	
#
59169.35	19.69	1.20	19.69	1.20	19.69	1.20	19.69	1.20	19.69	1.20	19.69	1.20
59169.36	19.67	1.20	19.67	1.20	19.67	1.20	19.67	1.20	19.67	1.20	19.67	1.20
59173.22	19.93	1.20	19.93	1.20	19.93	1.20	19.93	1.20	19.93	1.20	19.93	1.20
59173.38	21.23	1.20	21.23	1.20	21.23	1.20	21.23	1.20	21.23	1.20	21.23	1.20
59173.38	20.03	1.20	20.03	1.20	20.03	1.20	20.03	1.20	20.03	1.20	20.03	1.20
59182.36	20.26	1.20	20.26	1.20	20.26	1.20	20.26	1.20	20.26	1.20	20.26	1.20
59182.36	20.00	1.20	20.00	1.20	20.00	1.20	20.00	1.20	20.00	1.20	20.00	1.20
59185.37	20.09	1.20	20.09	1.20	20.09	1.20	20.09	1.20	20.09	1.20	20.09	1.20
59185.38	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20	19.65	1.20
59185.38	21.70	1.20	21.70	1.20	21.70	1.20	21.70	1.20	21.70	1.20	21.70	1.20
59185.39	23.08	1.20	23.08	1.20	23.08	1.20	23.08	1.20	23.08	1.20	23.08	1.20
59186.35	20.30	1.20	20.30	1.20	20.30	1.20	20.30	1.20	20.30	1.20	20.30	1.20
59186.35	20.14	1.20	20.14	1.20	20.14	1.20	20.14	1.20	20.14	1.20	20.14	1.20
59187.36	20.04	1.20	20.04	1.20	20.04	1.20	20.04	1.20	20.04	1.20	20.04	1.20
59187.37	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20	19.40	1.20
59187.37	19.80	1.20	19.80	1.20	19.80	1.20	19.80	1.20	19.80	1.20	19.80	1.20
59187.38	19.95	1.20	19.95	1.20	19.95	1.20	19.95	1.20	19.95	1.20	19.95	1.20
59189.29	20.46	1.20	20.46	1.20	20.46	1.20	20.46	1.20	20.46	1.20	20.46	1.20
59189.29	19.69	1.20	19.69	1.20	19.69	1.20	19.69	1.20	19.69	1.20	19.69	1.20
59189.31	20.31	1.20	20.31	1.20	20.31	1.20	20.31	1.20	20.31	1.20	20.31	1.20
59190.29	22.13	1.20	22.13	1.20	22.13	1.20	22.13	1.20	22.13	1.20	22.13	1.20
59190.29	20.27	1.20	20.27	1.20	20.27	1.20	20.27	1.20	20.27	1.20	20.27	1.20
59191.26	21.16	1.20	21.16	1.20	21.16	1.20	21.16	1.20	21.16	1.20	21.16	1.20
59191.26	21.68	1.20	21.68	1.20	21.68	1.20	21.68	1.20	21.68	1.20	21.68	1.20
59191.27	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20
59191.28	21.87	1.20	21.87	1.20	21.87	1.20	21.87	1.20	21.87	1.20	21.87	1.20
59192.31	20.55	1.20	20.55	1.20	20.55	1.20	20.55	1.20	20.55	1.20	20.55	1.20
59192.31	21.94	1.20	21.94	1.20	21.94	1.20	21.94	1.20	21.94	1.20	21.94	1.20
59193.30	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20	20.88	1.20
59193.30	20.64	1.20	20.64	1.20	20.64	1.20	20.64	1.20	20.64	1.20	20.64	1.20
59193.32	20.02	1.20	20.02	1.20	20.02	1.20	20.02	1.20	20.02	1.20	20.02	1.20
59193.33	19.92	1.20	19.92	1.20	19.92	1.20	19.92	1.20	19.92	1.20	19.92	1.20
